E-Platform,Course Title,User Name,Ratings,Feedbacks, 
Udemy,Data Analysis with Pandas and Python,Gopi Jagadheesh M.,Rating: 4.5 out of 5,"Yes its a amazing and the best course i had taken and completed , it's the best the that i will refer to every beginner who wants to be in the field of data science and machine learning", 
Udemy,Data Analysis with Pandas and Python,Rishabh S.,Rating: 3.5 out of 5,This Course should be the best explained course for machine learning but due to some late version of the aws and other tool it makes hard to learn parallely. But with this course it make you believe in your capability if you are consistent and there are enough material to go through again for future reference., 
Udemy,Data Analysis with Pandas and Python,Bablu Y.,Rating: 5.0 out of 5,Yess it was a amazing course those who want to go into a data scientist field it was a great course. I am glad that i take this course and watch every section without skipping and i love this course most.Thank Youu Krish Naik Sirrâ¤ï¸, 
Udemy,Data Analysis with Pandas and Python,Muhammad Hasan R.,Rating: 5.0 out of 5,"The course is absolutely fantastic! 99% of the topics are explained in great detail, making it easy to follow and understand and the remaining 1% is assigned as independent work to encourage self-exploration. I especially enjoyed the funny moments during the practical sessions, like whenever Krish Sir writes the word 'add'  ðŸ˜‚, of course that was just mis-typing.", 
Udemy,Data Analysis with Pandas and Python,Gobi L.,Rating: 4.0 out of 5,"Thank you very much  krish naik sir, really useful information about", 
Udemy,Data Analysis with Pandas and Python,Abdullah R.,Rating: 5.0 out of 5,The course itself is above expectations. The instructor did his job exceptionally well. I myself a teacher and only a teacher can know how demanding is the task of writing the notes on the fly. I would like to send kudus to kirish sir for his tremendous work I have learned a ton from this course and I am pretty confident that I can deliver projects just off of the knowledge I have acquired during the course. Hats off to the instructor, 
Udemy,Data Analysis with Pandas and Python,Sabita K.,Rating: 5.0 out of 5,"Krish has explained everything in such a way that one don't need to look anything outside his course material. More importantly, anyone without any prior knowledge can also go through this and learn.", 
Udemy,Data Analysis with Pandas and Python,Sumeet J.,Rating: 3.0 out of 5,"ML in good, deep learning was ok",
,,,,,
Udemy,Data Analyst Bootcamp From Basics To Advanced,Sanika K.,Rating: 5.0 out of 5,"""Data Analyst Bootcamp From Basics To Advanced"" is a well-structured course that covers everything from fundamental concepts to advanced analytics. The lessons are clear, hands-on, and beginner-friendly. The instructor explains complex topics in a simple way, making it easy to follow along. Real-world projects and practical exercises enhance learning. Highly recommended for anyone looking to build a strong foundation in data analysis!",
Udemy,Data Analyst Bootcamp From Basics To Advanced,Anurag,Rating: 4.5 out of 5,"The Course was a Great Journey of learning Data Analysis Using Programming languages like Python and Sql. Got a really Good understanding on the Data visualization part Using tools like tableau and PowerBI, and Publishing them on cloud platforms like microsoft fabirc and Tableau cloud. And Additionally Got a really good understanding of AWS, AZURE and SNOWFLAKEs platform which was unexpected. Overall Experience was Excellent.",
Udemy,Data Analyst Bootcamp From Basics To Advanced,Enamul H.,Rating: 5.0 out of 5,"This course covers rich and comprehensive topics. Having completed my Masterâ€™s in Data Science from the University of Western Australia, I found the content very familiar. It was a great way to recall and revise key concepts!",
Udemy,Data Analyst Bootcamp From Basics To Advanced,Ankit P.,Rating: 4.5 out of 5,Amazing Course ! Highly recommended who aspire to be a Data Analyst from scratch.,
Udemy,Data Analyst Bootcamp From Basics To Advanced,Sirapop T.,Rating: 5.0 out of 5,"Great Course for those who are interested in Data Analyst, this course curriculum will teach you from noob to pro.",
Udemy,Data Analyst Bootcamp From Basics To Advanced,Aamir,Rating: 3.5 out of 5,"""Overall, the course is great! The best part about this course is the teacher, especially Jayant Sir. Thanks a lot, Sir, for providing such insightful knowledge!""",
Udemy,Data Analyst Bootcamp From Basics To Advanced,Yashvanth B.,Rating: 4.0 out of 5,"It is good course and the important topics covered. Few of the resources are missing, please update those.",
Udemy,Data Analyst Bootcamp From Basics To Advanced,Adedapo O.,Rating: 4.0 out of 5,Great job with high motives....lot could be done by completing and dealing with some topics as they come rather than postponing or pushing then forward and student loosing track.,
Udemy,Data Analyst Bootcamp From Basics To Advanced,Amrish R.,Rating: 5.0 out of 5,it was very helfull to my learnings,
Udemy,Data Analyst Bootcamp From Basics To Advanced,Rohini S.,Rating: 5.0 out of 5,"I've learned so much in your class. Your teaching style has helped me understand the material and develop valuable critical thinking and problem-solving skills. Thank you for your dedication and passion.""",
Udemy,Data Analyst Bootcamp From Basics To Advanced,S. Santhosh P.,Rating: 3.0 out of 5,we cannot understand python not explain python in detail,
Udemy,Data Analyst Bootcamp From Basics To Advanced,Anshul N.,Rating: 5.0 out of 5,Good and very deep course to understand Data analyst,
,,,,,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Adeniran T.,Rating: 5.0 out of 5,"I am been in search for a good data science course. I am happy that I have finally found one. Apart from being beginner-friendly, the awesome projects make it more interesting. I recommend it to anyone willing to start a career in data science and machine learning.",
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Savaliya D.,Rating: 4.5 out of 5,"I really enjoyed this course. The concepts were well explained, and the assignments were helpful. I felt it was a perfect match for me because I learned new skills and improved my understanding. The instructorâ€™s teaching style was also great.",
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Leon V.,Rating: 5.0 out of 5,The course exceeded my expectations. The concepts covered so far are simplified and well explained!,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Ronald K.,Rating: 5.0 out of 5,This chapter is so detailed. The Data Cleaning steps are well explained.,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Neeraj K.,Rating: 3.0 out of 5,"the theory could be more better, overall coding practices are good and is more focused on practical projects.",
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Sathish K.,Rating: 5.0 out of 5,i am electrical engineer just i want to know what is data engineer so I accidently saw this course his teaching is awesome and easy to understand..,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Tiamuller,Rating: 5.0 out of 5,Challenging and bringing the best out of me,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Andrew Imanuel P.,Rating: 5.0 out of 5,One of the best bootcamps I've ever attended,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Achraftaoud,Rating: 5.0 out of 5,perfect course,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Shruti S.,Rating: 5.0 out of 5,WONDERFULL COURSE,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",Ahmad Selo A.,Rating: 5.0 out of 5,very helpfully,
Udemy,"Data Engineering for Beginners: Learn SQL, Python & Spark",KH P.,Rating: 5.0 out of 5,good,
,,,,,
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Ranjan Sharma N.,Rating: 4.0 out of 5,"Overall, the course is very good for beginners .",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",John P K.,Rating: 5.0 out of 5,"Mr. Portilla did a great job laying out this lesson. I like his style of teaching. Instead of testing us out on a section, he lets you solve the problem based on what you've learned and then walk through a solution to that problem. You either know what to do or not. Testing wastes time because if you don't get it right, you're stuck until you can pass on to the next section. I would recommend this course.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Nur Quzreen Binti M.,Rating: 5.0 out of 5,A very good one to learn about python for data science.,
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Venkatesh Mallis S S.,Rating: 5.0 out of 5,"This is a fundamental course on Machine learning, data visualization using Python. I would definitely recommend this course to be studied first, before learning the LLM newly.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Shadab ..,Rating: 4.0 out of 5,"This course is very good for initial understanding only. NOT Recommended for intermediate and advanced. Also, the course hasn't been updated since long. Lot of libraries have been updated since then.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Siddhant D.,Rating: 3.0 out of 5,"The course was good from the practical implementation perspective but, you should know the theory already as it is just skimmed or taught from an overview without going in detail in the theory lectures.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",David A.,Rating: 4.5 out of 5,"Good course. A good introduction into the field of data science and machine learning. Although some of the commands in some of the sections are outdated, you can find what you need in the Q&A section. However, the Big Data and Spark with Python session is outdated and needs to be updated. That's why I'm not giving it a 5 but overall very good course",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Everton M.,Rating: 4.5 out of 5,The course is great.,
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Alle H.,Rating: 4.0 out of 5,"The course is helpful for beginners interested in DS, ML, and Deep Learning, but it is slightly outdated, rating 4/5.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Jackson,Rating: 5.0 out of 5,This course is exceptional in terms of explaining the concepts. Presents really complex material in an easy-to-understand manner. I have enjoyed completing this course and will be checking other courses from the same instructor.,
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Joan S.,Rating: 4.0 out of 5,"A very good course, except that it is somewhat out-dated as newer versions of softwares are now being used.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",Ruby Ineba B.,Rating: 4.0 out of 5,"Though, it was tough initially but as I progressed I started enjoying the course till the end. However, my observation is that some updating is necessary.",
,,,,,
Coursera,Applied Data Science with Python,Della,Rating: 4.5 out of 5,I am very glad to get this opportunity,
Coursera,Applied Data Science with Python,Tshwaro,Rating: 5.0 out of 5,"Iâ€™m am a final year student in computer science I want to land a coursera IBM full-stack developer professional certificate, will this help in my job hunt opportunities once Iâ€™m done with both my course and the coursera specialization",
Coursera,Applied Data Science with Python,Ms. Learner,Rating: 5.0 out of 5,Can I be recognized as a teacher after completing a Coursera teaching diploma,
Coursera,Applied Data Science with Python,CrispyFlea23,Rating: 5.0 out of 5,"Ms. Cooke â€“ This information is great and very helpful!  Thanks for doing all the research for learners!  Iâ€™m trying to track down how public institutions in the US are partnering with Coursera to host non-credit, adult education, qualifying training for licensures, credentialing, etc. Iâ€™m looking for information on cost and pricing structures â€“ for institutions, not for students.  If costs are prohibitive, then a demo may be a waste of time. Do you have suggestions?    Thank you in advance.",
Coursera,Applied Data Science with Python,alay4d,Rating: 5.0 out of 5,Hello and thank you for all this information! It is really helpful!,
Coursera,Applied Data Science with Python,Mr. Kaufman,Rating: 4.5 out of 5,Wow Thanks for this post i find it hard to get awesome specifics out there when it comes to this content appreciate for the review site,
Coursera,Applied Data Science with Python,Daniel Farsaci,Rating: 5.0 out of 5,Amazing information. I really enjoyed reading this thread,
Coursera,Applied Data Science with Python,Jay,Rating: 4.5 out of 5,We are trying to get someone to get back to us for pricing and a quote for our school district IT department.  I have tried 4 times and canâ€™t get anyone to reach out.  I get a canned email saying someone will be in touch but no one ever does.  Any help would be great.,
Coursera,Applied Data Science with Python,Harsha,Rating: 2.5 out of 5,Avoid the courses with peer-review gradingâ€¦ been stuck more than once waiting on someone to thumbs up or down like itâ€™s ancient Rome.,
Coursera,Applied Data Science with Python,Alex,Rating: 4.0 out of 5,Hey catherine i want to know that any course related to commerce field with no fee Iâ€™m pursuing my ug in college I hope you reply this as soon as you possible.,
Coursera,Applied Data Science with Python,Doug,Rating: 5.0 out of 5,Do colleges recognize Coursera certificates if you take them as a highschooler?,
Coursera,Applied Data Science with Python,SATISH KUMAR,Rating: 4.5 out of 5,I was going to sign up with Coursera to take a few classes and tried to find a phone number to call but none was found and there is no link to send an email. I am skeptical of online services with no way of connecting to someone.,
Coursera,Applied Data Science with Python,Lebogang,Rating: 2.5 out of 5,"Hi, I am college student and also doing course Full stage from coursera but my course deadline is over & now asking for More money to extend deadline. Is there any way to extend deadline without extra fee",
,,,,,
Coursera,IBM Data Science,Mohamed H I,Rating: 5.0 out of 5,"If you are located outside USA or Canada, don't take this course.",
Coursera,IBM Data Science,Michael K,Rating: 5.0 out of 5,"This course is more about IBM roping you into using a bloated cloud ecosystem, than it is about teaching you SQL.  You will only learn DB2 stuff, and only through their cloud dashboard.  This entire specialization is disappointing, but if you've made it this far, masochism may carry you through it.",
Coursera,IBM Data Science, snehal b,Rating: 3.0 out of 5,"The course teaches SQL quite well. But it doesn't teach and make practice about the connection to a database and use of sql magic. Hence, its very frustrating to understand the significance of '%sql' in a Final Assignment review. I think a lot of students are facing the same problem.",
Coursera,IBM Data Science, Georgi K,Rating: 4.5 out of 5,[Reviewing the entire specialization but points are applicable for each course],
Coursera,IBM Data Science, Li Z,Rating: 4.0 out of 5,"I would've given a five-star rating gladly, if it weren't for the terrible user experience of IBM DB2 Console, which wasted 4 hours of my time trying to load three small csv files into database tables.",
Coursera,IBM Data Science, Saurabh K,Rating: 5.0 out of 5,Horrible experience. The course is not updated. The ibm cloud function doesnt work at all. There are hardly any videos. Most of the content is just theory which you can read from anywhere. Dont waste your money.,
Coursera,IBM Data Science, Maria,Rating: 5.0 out of 5,"Only one star and I think it does not deserve it. On week 3 the assignment  ask you to establish a connection with database and because It gives me an error for more than 3 weeks, I decided to use Forums. After  a couple of dozen messages requesting for help, I received only 2 answers from the professor:",
Coursera,IBM Data Science, Youlin C,Rating: 3.0 out of 5,"I can't open Db2 console on the IBM cloud, it only showed 502 Bad Gateway. It cost me more time on finding another way to finish the homework.",
Coursera,IBM Data Science, Aniket C,Rating: 5.0 out of 5,"No live examples, no tutorial on how to navigate Db2 cloud. Maybe I was expecting too much; disappointed.",
Coursera,IBM Data Science, Steve O,Rating: 3.5 out of 5,"The IBM cloud ""service"" leaves much to be desired. Multiple times I've experienced outages while I was in the middle of lab assignments. It's a paid course where they give you ""free"" credits to do the course work in their cloud ""service."" But the credits are inadequate for the labs and they constantly ask for your credit card to buy more ""service."" While the class is okay I wouldn't recommend it to anyone because of the poor IBM cloud support.",
Coursera,IBM Data Science, Kshitij P,Rating: 5.0 out of 5,"Although the material was clear and concise, working with IBM Db2 Cloud was a headache due to its  unresponsiveness",
Coursera,IBM Data Science, Zahid A,Rating: 2.0 out of 5,"Basic SQL, course needs to be updated to reflect changes to IBM cloud (or better yet, don't use IBM cloud). You can find better courses on SQL on Coursera/other MOOC sites.",
Coursera,IBM Data Science, Badal S,Rating: 4.5 out of 5,Amazing course for beginners! The entire course is well structured and has good hands-on assignments. SQL is extremely essential for Database management and fun learning so please do try this one out!,
Coursera,IBM Data Science, Susan A,Rating: 2.5 out of 5,"The lessons were short and easy to follow, providing all the basics as well as a few more advanced topics, to get student quickly up-to-speed on databases and SQL and their application in D/S realm.",
Coursera,IBM Data Science, imran k,Rating: 4.0 out of 5,Lot of errors and lack of guidance,
,,,,,
Coursera,Foundations of Data Science, Beth a,Rating: 5.0 out of 5,"This course focused on interpersonal skills and a structured PACE analysis activity. The videos were accessible, done by engaging instructors who were 'TV-ready' - great eye contact, speech patterns and teachers. There were additional lessons and interviews with data professionals that were interesting by bloated the time needed to complete this course.  Inspite of having good instructors, the course seemed to lack focus at times, and some topics were revisited multiple times, even after demonstrating competency. It was fustrating in the discusson forums to see some students completing assignments while others just entered a single word instead of uploading a document in order to pass out of the assignments. It makes on question the value of the certificate. Moreover, the instructions often required you to revisit assignments and be quizzed on the same interpersonal skill and project management ideas you had demonstrated proficiency in. This wasn't done as a stepping stone to another source of information, but was just done in a way that was, at time, painfully redundant. I am a woman and I appreciate having women as instructors in this industry. That being said, only having women as the instructors in lessons on 'soft skills' may have been inclusive but signaled that being able to communicate, plan and work with colleagues professionally was not something men  value. It came off, at times, like having a lot of women in HR positions lecturing you. Based on the slow and repetitive nature of the material,  I couldn't recommend this course in it's current format.",
Coursera,Foundations of Data Science, Syd F,Rating: 5.0 out of 5,"Although this course is part of the Advanced Data Analytics certificate program, it felt much too introductory. Way too much redundant readings. If you are already in the industry (which this certificate is marketed towards), I would skip this course.",
Coursera,Foundations of Data Science, Philipp E,Rating: 4.0 out of 5,"Being an supposedly advanced course this course is a disappointment. It s a motivational course with zero to none applicable knowledge. What I learned is , everyone is beautiful, half of the staff from google seems to have imposter syndrome and google is very ethical. Thx for that info",
Coursera,Foundations of Data Science, Franco G,Rating: 5.0 out of 5,Most of the material seems unnecessary and out of place in an advanced program.,
Coursera,Foundations of Data Science, Hercules K,Rating: 4.5 out of 5,"This course was a bit misleading as it's more of a ""communications"" course, than ""data science"". There should be an option to bypass this course for those of us who have work experience and for those of us who are merely looking to benefit from the technical aspects of the Certificate.",
Coursera,Foundations of Data Science, Matthew E,Rating: 3.0 out of 5,"This was a very useful course. I was pleasantly surprised by the type of content and the way it made me think. I am used to studying technical content, so this was a welcome change.",
Coursera,Foundations of Data Science, Mukesh K M,Rating: 5.0 out of 5,"In this course i gain a deep knowledge about what is data science and what are all the other names, fields related with data science. How we use data to gain insights from the model.",
Coursera,Foundations of Data Science, Julius A,Rating: 2.5 out of 5,interesting course outline and assessments given. and i also commend our  various course instructors throughout our learning process for thei  words of encouragement. thanks.,
Coursera,Foundations of Data Science, Samuel O,Rating: 5.0 out of 5,"I love the course very much, it provides everything needed to get started  with a data science project and proper communication with both the data teams and stakeholders.",
Coursera,Foundations of Data Science, Subhajit S,Rating: 5.0 out of 5,This is a very good refresher + new course material for someone who has already completed the Google Data Science course. Looking forward to the next course,
Coursera,Foundations of Data Science, Mumana A,Rating: 5.0 out of 5,"I loved this class. I think this class may be getting slightly lower rating because it focuses less on technical skills like the other courses do. However, this make sense because this is the intro course to the certificate program. Also, the importance of communication skills cannot be overstated. I just started a job as a data analyst at a hospital system, and the communication advice is coming in very handy as I adjust to the new time. The material is invaluable, and I enjoyed hearing the instructors voice (it's soothing).",
Coursera,Foundations of Data Science, Adam H,Rating: 5.0 out of 5,Fairly light on content.,
,,,,,
Coursera,"Python for Data Science, AI & Development", Mohamed H I,Rating: 4.5 out of 5,"Course focuses more on forcing you to sign up for various IBM cloud tools than learning python.  The final assignment has a 300+ reply thread in the discussion forum because you are graded on the ability to integrate your IBM Watson Notebook with IBM cloud storage, but the instructions have multiple errors, such as not working if you provision your storage in the wrong region.",
Coursera,"Python for Data Science, AI & Development", Michael K,Rating: 5.0 out of 5,Still I don't understand the relation of the course' content and the final assignment.,
Coursera,"Python for Data Science, AI & Development", snehal b,Rating: 4.5 out of 5,"The worst course I took. I couldn't believe the course is provided by IBM. The slide is completely unclear and there are some small mistakes in that. And the final project is aimless, I don't know why you come up with such a project for the beginner. Anyway, I'm so disappointed with IBM and this course.",
Coursera,"Python for Data Science, AI & Development", Georgi K,Rating: 5.0 out of 5,"It is amazing how bad this is considering that it is marketed as an IBM product. This is not the level of quality people expect when they hear the name IBM! You'd be better off paying 9.99 for a Udemy course than taking this course. It is not in depth at all and does a stunningly poor job at building real understanding and competency. The videos and labs are full of sloppiness and errors... again, not living up to the IBM name. I don't know about y'all, but I'm probably never going to pay money for a coursera course again... not really worth it.",
Coursera,"Python for Data Science, AI & Development", Li Z,Rating: 5.0 out of 5,"I had a lot of problems with the Peer Assignment, which had nothing to do with Python Programming. The Watson environment has changed a lot compared to the learning materials.",
Coursera,"Python for Data Science, AI & Development", Saurabh K,Rating: 4.5 out of 5,"Every course has offered something interesting, challenging, and surprising.  I am glad I have spent the time with this class.  I would strongly recommend it to others with an interest in data science.",
Coursera,"Python for Data Science, AI & Development", Maria,Rating: 4.5 out of 5,"As in the other parts of the certificate, the tasks are simply too easy. The content in the videos (many typos!!!!) are really valuable but the tasks man... Only the surface of the surface will be discussed, no deeping down into the wild. In this course the libraries numpy and pandas are presented but in the final assignment we actually don't needed the libs... When I read the description of the final assignment, I was excited because I assumed we will need to code EVERYTHING ourselves. So really do the thinking of how to solve the requirements, testing it in a notebook out, reading the docs, discovering new cool stuff... But unfortunately my dream did not come true. The most exciting function was already provided and some of the answers were little bit of copy and paste instead of really recalling newly learned knowledge. Before this review I really wanted to give 4 out of 5 stars but after writing this review I will now give only 2 stars. Actually, 2 stars are in my opinion unfair, since the creators have put a lot of time and love in the course content. Unfortunately, so much potential is thrown away",
Coursera,"Python for Data Science, AI & Development", Youlin C,Rating: 5.0 out of 5,"The course content is good. However, the instructions for the final peer graded assignment are unclear. It appears to me that we were graded on our ability to interact with IBM cloud and Watson service not so much python skills also. Although I completed, I would not recommend to other until changes are made. It seems I'm not the only one that is unhappy or who had difficulties, just look at the week 5 discussion forum!",
Coursera,"Python for Data Science, AI & Development", Aniket C,Rating: 4.5 out of 5,Course was great!!,
Coursera,"Python for Data Science, AI & Development", Steve O,Rating: 4.5 out of 5,"This class was supposed to be for beginners and most of the information in the videos was easy to digest, however, the final project had elements and questions that were never covered. Also, there were many, many spelling and context errors in the videos and quizzes. This lead to a tremendous amount of confusion and I am not happy with this course or my grade. Please consider reviewing the lessons and final project to cater this course more to beginners.",
Coursera,"Python for Data Science, AI & Development", Kshitij P,Rating: 4.5 out of 5,"The IBM cloud ""service"" leaves much to be desired. Multiple times I've experienced outages while I was in the middle of lab assignments. It's a paid course where they give you ""free"" credits to do the course work in their cloud ""service."" But the credits are inadequate for the labs and they constantly ask for your credit card to buy more ""service."" While the class is okay I wouldn't recommend it to anyone because of the poor IBM cloud support.",
Coursera,"Python for Data Science, AI & Development", Zahid A,Rating: 4.0 out of 5,"it becomes easier wand clearer when one gets to complete the assignments as to how to utilize what has been learned. Practical work is a great way to learn, which was a fundamental part of the course.",
Coursera,"Python for Data Science, AI & Development", Badal S,Rating: 3.0 out of 5,The syllabus of the course takes you in a roller-coaster ride.,
Coursera,"Python for Data Science, AI & Development", Susan A,Rating: 5.0 out of 5,"Time waster, doesn't go in depth, the total video content is of less then 2 hours. The quizzes and assignments are too easy.",
Coursera,"Python for Data Science, AI & Development", imran k,Rating: 2.5 out of 5,The final project at week 5 needs to be completely revamped.  Poor learning experience...absolutely ridiculous and is creating tremendous frustration amongst all students.,
,,,,,
Coursera,Applied Data Science with R, Beth a,Rating: 3.0 out of 5,"Although this course is part of the Advanced Data Analytics certificate program, it felt much too introductory. Way too much redundant readings. If you are already in the industry (which this certificate is marketed towards), I would skip this course.",
Coursera,Applied Data Science with R, Syd F,Rating: 5.0 out of 5,"Being an supposedly advanced course this course is a disappointment. It s a motivational course with zero to none applicable knowledge. What I learned is , everyone is beautiful, half of the staff from google seems to have imposter syndrome and google is very ethical. Thx for that info",
Coursera,Applied Data Science with R, Philipp E,Rating: 5.0 out of 5,Most of the material seems unnecessary and out of place in an advanced program.,
Coursera,Applied Data Science with R, Franco G,Rating: 4.5 out of 5,"This course was a bit misleading as it's more of a ""communications"" course, than ""data science"". There should be an option to bypass this course for those of us who have work experience and for those of us who are merely looking to benefit from the technical aspects of the Certificate.",
Coursera,Applied Data Science with R, Hercules K,Rating: 5.0 out of 5,"This was a very useful course. I was pleasantly surprised by the type of content and the way it made me think. I am used to studying technical content, so this was a welcome change.",
Coursera,Applied Data Science with R, Matthew E,Rating: 5.0 out of 5,"In this course i gain a deep knowledge about what is data science and what are all the other names, fields related with data science. How we use data to gain insights from the model.",
Coursera,Applied Data Science with R, Mukesh K M,Rating: 5.0 out of 5,interesting course outline and assessments given. and i also commend our  various course instructors throughout our learning process for thei  words of encouragement. thanks.,
Coursera,Applied Data Science with R, Julius A,Rating: 1.0 out of 5,"I love the course very much, it provides everything needed to get started  with a data science project and proper communication with both the data teams and stakeholders.",
Coursera,Applied Data Science with R, Samuel O,Rating: 5.0 out of 5,This is a very good refresher + new course material for someone who has already completed the Google Data Science course. Looking forward to the next course,
Coursera,Applied Data Science with R, Subhajit S,Rating: 4.5 out of 5,"I loved this class. I think this class may be getting slightly lower rating because it focuses less on technical skills like the other courses do. However, this make sense because this is the intro course to the certificate program. Also, the importance of communication skills cannot be overstated. I just started a job as a data analyst at a hospital system, and the communication advice is coming in very handy as I adjust to the new time. The material is invaluable, and I enjoyed hearing the instructors voice (it's soothing).",
Coursera,Applied Data Science with R, Mumana A,Rating: 4.5 out of 5,Fairly light on content.,
